show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
The Monkey King,Films (English),tt8637498,movie,The Monkey King,The Monkey King,0,2023,\N,97,"Action,Adventure,Animation",5.8,4958,nm0820934,Anthony Stacchi
Heart of Stone,Films (English),tt13603966,movie,Heart of Stone,Heart of Stone,0,2023,\N,122,"Action,Crime,Thriller",5.7,51337,nm2197777,Tom Harper
You Are So Not Invited to My Bat Mitzvah,Films (English),tt21276878,movie,You Are So Not Invited to My Bat Mitzvah,You Are So Not Invited to My Bat Mitzvah,0,2023,\N,103,Comedy,6,20590,nm3852987,Sammi Cohen
Street Kings,Films (English),tt0421073,movie,Street Kings,Street Kings,0,2008,\N,109,"Action,Crime,Thriller",6.8,118993,nm0043742,David Ayer
The Boss Baby,Films (English),tt3874544,movie,The Boss Baby,The Boss Baby,0,2017,\N,97,"Adventure,Animation,Comedy",6.3,136944,nm0569891,Tom McGrath
Jurassic World: Fallen Kingdom,Films (English),tt4881806,movie,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,0,2018,\N,128,"Action,Adventure,Sci-Fi",6.1,335303,nm1291105,J.A. Bayona
The Pope's Exorcist,Films (English),tt13375076,movie,The Pope's Exorcist,The Pope's Exorcist,0,2023,\N,103,"Horror,Thriller",6.1,69351,nm1170339,Julius Avery
Half Brothers,Films (English),tt27499027,movie,Half Brothers,Half Brothers,0,2023,\N,\N,Drama,,,nm5150818,Charles Uwagbai
Madagascar,Films (English),tt0351283,movie,Madagascar,Madagascar,0,2005,\N,86,"Adventure,Animation,Comedy",6.9,425929,"nm0569891,nm0201509","Eric Darnell, Tom McGrath"
Dora and the Lost City of Gold,Films (English),tt7547410,movie,Dora and the Lost City of Gold,Dora and the Lost City of Gold,0,2019,\N,102,"Action,Adventure,Comedy",6.1,33440,nm0090386,James Bobin
A Life Too Short: The Isabella Nardoni Case,Films (Non-English),tt28552695,movie,A Life Too Short: The Isabella Nardoni Case,Isabella: O Caso Nardoni,0,2023,\N,104,"Crime,Documentary",6,913,"nm3467161,nm0543526","Cláudio Manoel, Micael Langer"
Squared Love Everlasting,Films (Non-English),tt28496500,movie,Squared Love Everlasting,Milosc do kwadratu bez granic,0,2023,\N,102,"Comedy,Romance",4.3,263,nm0959108,Filip Zylber
Killer Book Club,Films (Non-English),tt18260564,movie,Killer Book Club,El club de los lectores criminales,0,2023,\N,89,"Horror,Thriller",4.6,3748,nm4861847,Carlos Alonso Ojea
10 Days of a Bad Man,Films (Non-English),tt24852002,movie,10 Days of a Bad Man,Kötü Adamin 10 Günü,0,2023,\N,123,"Crime,Drama,Mystery",6.1,1925,nm1760721,Uluç Bayraktar
Paradise,Films (Non-English),tt28790726,movie,Paradise,Paradise,0,2023,\N,\N,\N,,,,Boris Kunz
Xtreme,Films (Non-English),tt11658120,movie,Xtreme,Xtremo,0,2021,\N,111,"Action,Crime,Drama",5.8,4959,nm2038223,Daniel Benmayor
Bro,Films (Non-English),tt26675491,movie,Bro,Bro,0,2023,\N,134,"Drama,Family,Fantasy",6.8,9979,nm2284321,Samuthirakani
Zom 100: Bucket List of the Dead,Films (Non-English),tt20672534,movie,Zom 100: Bucket List of the Dead,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,0,2023,\N,128,"Action,Comedy,Fantasy",5.5,4908,nm4866109,Yûsuke Ishida
Adipurush,Films (Non-English),tt12915716,movie,Adipurush,Adipurush,0,2023,\N,179,"Action,Adventure,Drama",3.4,130603,nm3819854,Om Raut
Make Me Believe,Films (Non-English),tt21257152,movie,Make Me Believe,Sen Inandir,0,2023,\N,104,"Comedy,Romance",5.6,2334,"nm3094703,nm1754484","Murat Saraçoglu, Evren Karabiyik Günaydin"
Hidden Strike,Films (English),tt6879446,movie,Hidden Strike,Hidden Strike,0,2023,\N,102,"Action,Adventure,Comedy",5.3,15860,nm0915304,Scott Waugh
What Men Want,Films (English),tt7634968,movie,What Men Want,What Men Want,0,2019,\N,117,"Comedy,Fantasy,Romance",5.4,30558,nm0788202,Adam Shankman
Despicable Me 2,Films (English),tt1690953,movie,Despicable Me 2,Despicable Me 2,0,2013,\N,98,"Adventure,Animation,Comedy",7.3,416974,"nm1853544,nm0719208","Chris Renaud, Pierre Coffin"
Untold: Hall of Shame,Films (English),tt28089652,movie,Untold: Hall of Shame,Untold: Hall of Shame,0,2023,\N,78,"Crime,Documentary,Sport",,,,Bryan Storkel
Untold: Johnny Football,Films (English),tt28089651,movie,Untold: Johnny Football,Untold: Johnny Football,0,2023,\N,70,"Documentary,Sport",,,,Ryan Duffy
Jagun Jagun,Films (Non-English),tt28546464,movie,Jagun Jagun,Jagun Jagun (The Warrior),0,2023,\N,133,"Drama,History",3.7,701,"nm4181105,nm2834803","Adebayo Tijani, Tope Adebayo"
Marry My Dead Body,Films (Non-English),tt22742964,movie,Marry My Dead Body,Guan yu wo han gui bian cheng jia ren de na jian shi,0,2022,\N,130,"Action,Comedy,Drama",7.1,3966,nm7415410,Wei-Hao Cheng
Eye of the Storm,Films (Non-English),tt26686436,movie,Eye of the Storm,Yi qi,0,2023,\N,118,Drama,6.3,547,nm4863798,Chun-Yang Lin
Soulcatcher,Films (Non-English),tt28290233,movie,Soulcatcher,Soulcatcher,0,2023,\N,98,"Action,Adventure,Thriller",3.7,1237,nm10625383,Daniel Markowicz
Happiness for Beginners,Films (English),tt15509244,movie,Happiness for Beginners,Happiness for Beginners,0,2023,\N,103,"Comedy,Drama,Romance",6,14860,nm0907328,Vicky Wight
Shark Bait,Films (English),tt12550376,movie,Shark Bait,Shark Bait,0,2022,\N,87,"Horror,Thriller",4.4,4346,nm2071556,James Nunn
Fatale,Films (English),tt8829830,movie,Fatale,Fatale,0,2020,\N,102,Thriller,5.4,13673,nm1938064,Deon Taylor
River Wild,Films (English),tt21291992,movie,River Wild,River Wild,0,2023,\N,91,Thriller,5.4,3949,nm2406892,Ben Ketai
The Seven Deadly Sins: Grudge of Edinburgh Part 2,Films (Non-English),tt25010142,movie,The Seven Deadly Sins: Grudge of Edinburgh Part 2,Nanatsu no Taizai : Ensa no Edinburgh 2,0,2023,\N,53,"Action,Adventure,Animation",6.2,308,nm1245805,Bob Shirohata
Head to Head,Films (Non-English),tt28306747,movie,Head to Head,Ras Bras,0,2023,\N,95,"Comedy,Thriller",6.1,2421,nm8622744,Malik Nejer
The Raid: Redemption,Films (Non-English),tt1899353,movie,The Raid: Redemption,Serbuan maut,0,2011,\N,101,"Action,Crime,Thriller",7.6,213383,nm2153088,Gareth Evans
Dream,Films (Non-English),tt13814704,movie,Dream,Deurim,0,2023,\N,125,"Comedy,Drama,Sport",6.5,2531,nm4998869,Lee Byeong-heon
Poisoned: The Dirty Truth About Your Food,Films (English),tt27548083,movie,Poisoned: The Dirty Truth About Your Food,Poisoned: The Dirty Truth About Your Food,0,2023,\N,83,Documentary,6.8,2087,nm3253001,Stephanie Soechtig
Missing: The Lucie Blackman Case,Films (English),tt19113292,movie,Missing: The Lucie Blackman Case,Keishichô sôsaikka rûshî burakku man jiken,0,2023,\N,83,"Crime,Documentary",6.4,2575,nm0945424,Hyoe Yamamoto
They Cloned Tyrone,Films (English),tt9873892,movie,They Cloned Tyrone,They Cloned Tyrone,0,2023,\N,122,"Comedy,Mystery,Sci-Fi",6.6,32621,nm3541432,Juel Taylor
Untold: Jake Paul the Problem Child,Films (English),tt28089650,movie,Untold: Jake Paul the Problem Child,Untold: Jake Paul the Problem Child,0,2023,\N,70,"Documentary,Sport",,,,Andrew F. Renzi
The Lady of Silence: The Mataviejitas Murders,Films (Non-English),tt27640680,movie,The Lady of Silence: The Mataviejitas Murders,La dama del silencio: El caso de la Mataviejitas,0,2023,\N,111,"Crime,Documentary,History",6.5,913,nm2141079,María José Cuevas
No Ritmo da Fé,Films (Non-English),tt28506156,movie,No Ritmo da Fé,No Ritmo da Fé,0,2023,\N,\N,"Drama,Musical,Romance",6.7,42,nm8084357,Ernani Nunes
Big Nunu's Little Heist,Films (Non-English),tt24062912,movie,Big Nunu's Little Heist,Big Nunu's Little Heist,0,2023,\N,91,"Action,Comedy,Crime",4.1,230,nm2346498,Andy 'Admiral' Kasrils
The Murderer,Films (Non-English),tt22696230,movie,The Murderer,The Murderer,0,2023,\N,120,"Comedy,Crime,Mystery",6.1,868,nm0765685,Wisit Sasanatieng
The Out-Laws,Films (English),tt11274492,movie,The Out-Laws,The Out-Laws,0,2023,\N,95,"Action,Comedy,Crime",5.4,31321,nm2634746,Tyler Spindel
Unknown: Cosmic Time Machine,Films (English),tt27837488,movie,Unknown: Cosmic Time Machine,Unknown: Cosmic Time Machine,0,2023,\N,64,Documentary,7.2,2051,nm9422402,Shai Gal
Puss in Boots: The Last Wish,Films (English),tt3915174,movie,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,0,2022,\N,102,"Adventure,Animation,Comedy",7.8,158049,"nm2591093,nm3150455","Januel Mercado, Joel Crawford"
The Deepest Breath,Films (English),tt24132732,movie,The Deepest Breath,The Deepest Breath,0,2023,\N,108,"Adventure,Documentary",7.7,11815,nm3982587,Laura McGann
The (Almost) Legends,Films (Non-English),tt21737024,movie,The (Almost) Legends,Los (casi) ídolos de Bahía Colorada,0,2023,\N,97,"Comedy,Music",6.3,441,nm7473888,Ricardo Castro Velazquez
Love Tactics 2,Films (Non-English),tt21308698,movie,Love Tactics 2,Ask Taktikleri 2,0,2022,\N,98,"Comedy,Romance",4.9,1647,nm9949168,Recai Karagöz
Kingdom,Films (Non-English),tt9099938,movie,Kingdom,Kingudamu,0,2019,\N,134,"Action,History,War",6.7,3462,nm0766263,Shinsuke Sato
Gold Brick,Films (Non-English),tt27987407,movie,Gold Brick,CASH,0,2023,\N,95,"Comedy,Drama",6.1,2285,nm4662274,Jérémie Rozan
Unknown: Cave of Bones,Films (English),tt27837467,movie,Unknown: Cave of Bones,Unknown: Cave of Bones,0,2023,\N,93,Documentary,6.7,1919,nm1016682,Mark Mannucci
Ride Along,Films (English),tt20880242,movie,Ride Along,Ride Along,0,2022,\N,\N,Reality-TV,,,"nm13738862,nm13738864","Patton Orr, Reid Sanders"
Man on Fire,Films (English),tt0328107,movie,Man on Fire,Man on Fire,0,2004,\N,146,"Action,Crime,Drama",7.7,380549,nm0001716,Tony Scott
Nimona,Films (English),tt19500164,movie,Nimona,Nimona,0,2023,\N,101,"Action,Adventure,Animation",7.6,32621,"nm2939767,nm0702863","Troy Quane, Nick Bruno"
Captain Underpants: The First Epic Movie,Films (English),tt2091256,movie,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,0,2017,\N,89,"Action,Adventure,Animation",6.2,31339,nm1659741,David Soren
Mr. Car and the Knights Templar,Films (Non-English),tt27876411,movie,Mr. Car and the Knights Templar,Pan Samochodzik i templariusze,0,2023,\N,110,"Adventure,Drama,Family",4.3,1139,nm2320357,Antoni Nykowski
Seasons,Films (Non-English),tt28022861,movie,Seasons,Seasons,0,2023,\N,108,"Drama,Romance",5.1,292,nm6522724,Easy Ferrer
Bear Man,Films (Non-English),tt26599543,movie,Bear Man,Ungnami,0,2023,\N,97,"Action,Comedy",5.1,109,\N,Park Sung Kwang
65,Films (English),tt12261776,movie,65,65,0,2023,\N,93,"Action,Adventure,Drama",5.4,75186,"nm1399714,nm1456816","Scott Beck, Bryan Woods"
Sing,Films (English),tt3470600,movie,Sing,Sing,0,2016,\N,108,"Animation,Comedy,Family",7.1,184267,"nm1134029,nm2888554","Garth Jennings, Christophe Lourdelet"
The Tutor,Films (English),tt19637278,movie,The Tutor,The Tutor,0,2023,\N,92,"Mystery,Thriller",4.8,3626,nm0743555,Jordan Ross
Mafia Mamma,Films (English),tt13923456,movie,Mafia Mamma,Mafia Mamma,0,2023,\N,101,"Action,Comedy,Crime",5.4,7396,nm0362566,Catherine Hardwicke
Unknown: Killer Robots,Films (English),tt27837442,movie,Unknown: Killer Robots,Unknown: Killer Robots,0,2023,\N,68,Documentary,6.4,1027,nm1497006,Jesse Sweet
Through My Window: Across the Sea,Films (Non-English),tt21245882,movie,Through My Window: Across the Sea,A través del mar,0,2023,\N,109,"Comedy,Drama,Romance",5,3865,nm2253409,Marçal Forés
Lust Stories 2,Films (Non-English),tt27989067,movie,Lust Stories 2,Lust Stories 2,0,2023,\N,132,"Drama,Romance",6.5,50623,"nm2669564,nm1223910,nm2279430,nm1234298","Sujoy Ghosh, Konkona Sen Sharma, Amit Ravindernath Sharma, R. Balki"
Rebound,Films (Non-English),tt27443460,movie,Rebound,Rebound,0,2023,\N,61,Documentary,8.3,7,"nm14728953,nm14728954,nm14728955","Tim Vervoort, Vincent Stevens, Gilles Simonet"
A Beautiful Life,Films (Non-English),tt15282148,movie,A Beautiful Life,A Beautiful Life,0,2023,\N,98,"Drama,Music,Romance",6.4,6286,nm6995804,Mehdi Avaz
Run Rabbit Run,Films (English),tt12547822,movie,Run Rabbit Run,Run Rabbit Run,0,2023,\N,100,"Horror,Thriller",5,9445,nm0717225,Daina Reid
Unknown: The Lost Pyramid,Films (English),tt27837387,movie,Unknown: The Lost Pyramid,Unknown: The Lost Pyramid,0,2023,\N,83,"Documentary,History",6.7,3234,nm1274214,Max Salomon
Old Henry,Films (English),tt12731980,movie,Old Henry,Old Henry,0,2021,\N,99,"Action,Drama,Western",7.3,33356,nm1403221,Potsy Ponciroli
Skyscraper,Films (English),tt5758778,movie,Skyscraper,Skyscraper,0,2018,\N,102,"Action,Adventure,Thriller",5.8,130604,nm1098493,Rawson Marshall Thurber
Woody Woodpecker,Films (English),tt2114504,movie,Woody Woodpecker,Woody Woodpecker,0,2017,\N,91,"Adventure,Animation,Comedy",4.2,4636,nm0005618,Alex Zamm
Afwaah,Films (Non-English),tt15832148,movie,Afwaah,Afwaah,0,2023,\N,126,"Drama,Thriller",5.6,3295,nm0592803,Sudhir Mishra
iNumber Number: Jozi Gold,Films (Non-English),tt27728519,movie,iNumber Number: Jozi Gold,iNumber Number: Jozi Gold,0,2023,\N,113,"Action,Adventure,Crime",4.4,439,nm1804518,Donovan Marsh
Through My Window,Films (Non-English),tt14463484,movie,Through My Window,A través de mi ventana,0,2022,\N,116,"Comedy,Drama,Romance",5.5,15671,nm2253409,Marçal Forés
Faithfully Yours,Films (Non-English),tt20119468,movie,Faithfully Yours,Faithfully Yours,0,2022,\N,95,Thriller,5.8,5063,nm0244011,André van Duren
The Perfect Find,Films (English),tt8400584,movie,The Perfect Find,The Perfect Find,0,2023,\N,99,"Comedy,Drama,Romance",5.2,2656,nm0667015,Numa Perrier
Extraction,Films (English),tt8936646,movie,Extraction,Extraction,0,2020,\N,116,"Action,Thriller",6.8,252820,nm1092087,Sam Hargrave
Take Care of Maya,Films (English),tt27542448,movie,Take Care of Maya,Take Care of Maya,0,2023,\N,103,Documentary,7.8,7223,nm3943473,Henry Roosevelt
Ghosts of the Abyss,Films (English),tt0297144,movie,Ghosts of the Abyss,Ghosts of the Abyss,0,2003,\N,61,"Documentary,Family",6.8,6274,nm0000116,James Cameron
King of Clones,Films (Non-English),tt27846314,movie,King of Clones,King of Clones,0,2023,\N,85,Documentary,6.1,795,nm5724272,Aditya Thayi
Black Clover: Sword of the Wizard King,Films (Non-English),tt22868844,movie,Black Clover: Sword of the Wizard King,Black Clover: Sword of the Wizard King,0,2023,\N,110,"Action,Adventure,Animation",7.4,7012,nm9734896,Ayataka Tanemura
You Do You,Films (Non-English),tt19121700,movie,You Do You,Merve Kült,0,2023,\N,99,"Comedy,Romance",4.9,1866,nm13524976,Cemal Alpan
The Mule,Films (English),tt13545268,movie,The Mule,The Mule,0,2020,\N,84,Comedy,5.4,13,nm8447737,Thomas L. Harris
What Happens in Vegas,Films (English),tt1033643,movie,What Happens in Vegas,What Happens in Vegas,0,2008,\N,99,"Comedy,Romance",6.1,184666,nm0891114,Tom Vaughan
Get Out,Films (English),tt5052448,movie,Get Out,Get Out,0,2017,\N,104,"Horror,Mystery,Thriller",7.8,664672,nm1443502,Jordan Peele
47 Ronin,Films (English),tt1335975,movie,47 Ronin,47 Ronin,0,2013,\N,128,"Action,Drama,Fantasy",6.2,168184,nm0727754,Carl Rinsch
The Wonder Weeks,Films (Non-English),tt22506746,movie,The Wonder Weeks,"Oei, ik groei!",0,2023,\N,91,"Comedy,Drama",4.7,668,"nm6337800,nm0211110","Aram van de Rest, Appie Boudellah"
Tin & Tina,Films (Non-English),tt7354440,movie,Tin & Tina,Tin & Tina,0,2023,\N,119,"Horror,Mystery,Thriller",4.7,6350,nm3560559,Rubin Stein
Assassin's Creed,Films (English),tt2094766,movie,Assassin's Creed,Assassin's Creed,0,2016,\N,115,"Action,Adventure,Sci-Fi",5.6,205734,nm0997291,Justin Kurzel
The Mother,Films (English),tt6968614,movie,The Mother,The Mother,0,2023,\N,115,"Action,Thriller",5.6,42956,nm0138927,Niki Caro
The Angry Birds Movie,Films (English),tt1985949,movie,The Angry Birds Movie,Angry Birds,0,2016,\N,97,"Action,Adventure,Animation",6.3,100590,"nm0443505,nm0717678","Clay Kaytis, Fergal Reilly"
Abduction,Films (English),tt19365364,movie,Abduction,Abduction,0,2022,\N,\N,"Action,Crime,Thriller",,,nm11304288,Nykeith McNeal
Shooter,Films (English),tt11749480,movie,Shooter,Shooter,0,2022,\N,143,Action,6.7,1196,"nm11335526,nm10454673","Rubal Chhina, Tru Makers"
Prisoners,Films (English),tt1392214,movie,Prisoners,Prisoners,0,2013,\N,153,"Crime,Drama,Mystery",8.1,776132,nm0898288,Denis Villeneuve
Blood & Gold,Films (Non-English),tt18073328,movie,Blood & Gold,Blood & Gold,0,2023,\N,98,"Action,Drama,War",6.5,14634,nm0861826,Peter Thorwarth
Gumraah,Films (Non-English),tt11905536,movie,Gumraah,Gumraah,0,2023,\N,130,"Action,Crime,Drama",6.4,5162,nm5429999,Vardhan Ketkar
Mother's Day,Films (Non-English),tt19724192,movie,Mother's Day,Dzien Matki,0,2023,\N,94,"Action,Drama,Thriller",5.3,2284,nm2956085,Mateusz Rakowicz
We're the Millers,Films (English),tt1723121,movie,We're the Millers,We're the Millers,0,2013,\N,110,"Comedy,Crime",7,475591,nm1098493,Rawson Marshall Thurber
The Company Men,Films (English),tt1172991,movie,The Company Men,The Company Men,0,2010,\N,104,Drama,6.7,47577,nm0920274,John Wells
Grown Ups 2,Films (English),tt2191701,movie,Grown Ups 2,Grown Ups 2,0,2013,\N,101,Comedy,5.4,164812,nm0240797,Dennis Dugan
The Choice,Films (English),tt26699718,movie,The Choice,The Choice,0,2023,\N,77,"Drama,Thriller",,,nm14559275,Igor Fedorov
Rich in Love 2,Films (Non-English),tt23144234,movie,Rich in Love 2,Ricos de Amor 2,0,2023,\N,88,"Comedy,Music,Romance",4.8,373,nm3061960,Bruno Garotti
Mixed by Erry,Films (Non-English),tt16425284,movie,Mixed by Erry,Mixed by Erry,0,2023,\N,110,"Comedy,History",7.1,4239,nm3319289,Sydney Sibilia
Where the Tracks End,Films (Non-English),tt21735972,movie,Where the Tracks End,El Último Vagón,0,2023,\N,95,"Comedy,Drama,Family",7.1,1166,nm0176496,Ernesto Contreras
Missed Connections,Films (Non-English),tt27703325,movie,Missed Connections,Missed Connections,0,2023,\N,107,"Comedy,Romance",4.2,223,nm14835043,Jelise Chung
Missing,Films (English),tt10855768,movie,Missing,Missing,0,2023,\N,111,"Drama,Mystery,Thriller",7.1,51315,"nm4946908,nm4148345","Will Merrick, Nicholas D. Johnson"
2 Hearts,Films (English),tt5616176,movie,2 Hearts,2 Hearts,0,2020,\N,101,"Drama,Romance",6.3,8619,nm0393678,Lance Hool
Dirty Grandpa,Films (English),tt1860213,movie,Dirty Grandpa,Dirty Grandpa,0,2016,\N,102,Comedy,5.9,130521,nm0563243,Dan Mazer
To Leslie,Films (English),tt8129806,movie,To Leslie,To Leslie,0,2022,\N,119,Drama,7.1,14932,nm2385621,Michael Morris
F9: The Fast Saga,Films (English),tt5433138,movie,F9: The Fast Saga,F9,0,2021,\N,143,"Action,Crime,Thriller",5.2,156162,nm0510912,Justin Lin
The Year I Started Masturbating,Films (Non-English),tt15411160,movie,The Year I Started Masturbating,Året jag slutade prestera och började onanera,0,2022,\N,98,"Comedy,Drama",5.2,2978,nm3322721,Erika Wasserman
Hard Feelings,Films (Non-English),tt20256412,movie,Hard Feelings,Hammerharte Jungs,0,2023,\N,102,Comedy,4.8,2129,nm0377153,Granz Henman
¡Que viva México!,Films (Non-English),tt22185848,movie,¡Que viva México!,¡Que viva México!,0,2023,\N,191,Comedy,5.5,2185,nm0261840,Luis Estrada
The Son,Films (English),tt14458442,movie,The Son,The Son,0,2022,\N,123,Drama,6.4,13357,nm1725469,Florian Zeller
The Great Wall,Films (English),tt2034800,movie,The Great Wall,The Great Wall,0,2016,\N,103,"Action,Adventure,Fantasy",5.9,143198,nm0955443,Yimou Zhang
Victim/Suspect,Films (English),tt24079788,movie,Victim/Suspect,Victim/Suspect,0,2023,\N,90,"Crime,Documentary",6.9,1629,nm3626116,Nancy Schwartzman
Ted,Films (English),tt1637725,movie,Ted,Ted,0,2012,\N,106,Comedy,6.9,640919,nm0532235,Seth MacFarlane
Anna Nicole Smith: You Don't Know Me,Films (English),tt16951452,movie,Anna Nicole Smith: You Don't Know Me,Anna Nicole Smith: You Don't Know Me,0,2023,\N,116,"Biography,Documentary",6.4,2922,nm0532237,Ursula Macfarlane
A Man Called Otto,Films (English),tt7405458,movie,A Man Called Otto,A Man Called Otto,0,2022,\N,126,"Comedy,Drama",7.5,137088,nm0286975,Marc Forster
Synchronic,Films (English),tt9016974,movie,Synchronic,Synchronic,0,2019,\N,102,"Drama,Horror,Mystery",6.2,38416,"nm1918140,nm1823264","Aaron Moorhead, Justin Benson"
Harry Potter and the Sorcerer's Stone,Films (English),tt0241527,movie,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,0,2001,\N,152,"Adventure,Family,Fantasy",7.6,829500,nm0001060,Chris Columbus
The Croods,Films (English),tt0481499,movie,The Croods,The Croods,0,2013,\N,98,"Action,Adventure,Animation",7.2,226873,"nm0210320,nm0761498","Kirk DeMicco, Chris Sanders"
UglyDolls,Films (English),tt1946502,movie,UglyDolls,UglyDolls,0,2019,\N,87,"Adventure,Animation,Comedy",5.1,7593,nm0038432,Kelly Asbury
The Healer,Films (English),tt6073544,movie,The Healer,La Guérisseuse,0,2018,\N,120,Drama,6.4,13,nm3255506,Mohamed Zineddaine
AKA,Films (Non-English),tt27197387,movie,AKA,AKA,0,2023,\N,122,"Action,Crime,Thriller",6.6,11604,nm1889990,Morgan S. Dalibert
Royalteen: Princess Margrethe,Films (Non-English),tt22488414,movie,Royalteen: Princess Margrethe,Royalteen: Princess Margrethe,0,2023,\N,98,"Drama,Romance",4.6,678,nm4193530,Ingvild Søderlind
Tu Jhoothi Main Makkaar,Films (Non-English),tt8672856,movie,Tu Jhoothi Main Makkaar,Tu Jhoothi Main Makkaar,0,2023,\N,150,"Comedy,Romance",6,25027,nm3060331,Luv Ranjan
The Lulú Club,Films (Non-English),tt23489688,movie,The Lulú Club,Papá al rescate,0,2023,\N,100,"Comedy,Drama",4.3,222,nm0138759,Marcos Carnevale
The Deep End of the Ocean,Films (English),tt0120646,movie,The Deep End of the Ocean,The Deep End of the Ocean,0,1999,\N,106,Drama,6.3,18764,nm0343260,Ulu Grosbard
Kung Fu Panda 3,Films (English),tt2267968,movie,Kung Fu Panda 3,Kung Fu Panda 3,0,2016,\N,95,"Action,Adventure,Animation",7.1,176490,"nm1868917,nm0950775","Jennifer Yuh Nelson, Alessandro Carloni"
Wrong Place,Films (English),tt15837458,movie,Wrong Place,Wrong Place,0,2022,\N,96,"Action,Crime,Thriller",3.5,4663,nm1230733,Mike Burns
The Tournament,Films (English),tt3693878,movie,The Tournament,Le tournoi,0,2015,\N,83,"Drama,Sport",5.7,490,nm2446739,Élodie Namer
Pitch Perfect,Films (English),tt1981677,movie,Pitch Perfect,Pitch Perfect,0,2012,\N,112,"Comedy,Music,Romance",7.1,323543,nm0601337,Jason Moore
Heat,Films (English),tt28656322,movie,Heat,Heat,0,2022,\N,99,Drama,,,nm13066053,Samuel Obiora
Hunger,Films (Non-English),tt22695402,movie,Hunger,Hunger,0,2023,\N,146,"Drama,Thriller",6.6,13453,nm10041917,Sitisiri Mongkolsiri
Queens on the Run,Films (Non-English),tt21736218,movie,Queens on the Run,Fuga de reinas,0,2023,\N,96,"Action,Comedy",4.6,865,nm1550471,Jorge Macaya
You & Me & Me,Films (Non-English),tt25406060,movie,You & Me & Me,Thoe kap chan kap chan,0,2023,\N,121,"Drama,Romance",6.7,442,"nm5006008,nm5007146","Wanweaw Hongvivatana, Weawwan Hongvivatana"
All Quiet on the Western Front,Films (Non-English),tt1016150,movie,All Quiet on the Western Front,Im Westen nichts Neues,0,2022,\N,148,"Action,Drama,War",7.8,225323,nm0074163,Edward Berger
Kill Boksoon,Films (Non-English),tt16900880,movie,Kill Boksoon,Kill Bok-soon,0,2023,\N,137,"Action,Thriller",6.6,10656,nm2604863,Sung-hyun Byun
The Dilemma,Films (English),tt1578275,movie,The Dilemma,The Dilemma,0,2011,\N,111,"Comedy,Drama",5.3,56407,nm0000165,Ron Howard
A Tourist's Guide to Love,Films (English),tt20115096,movie,A Tourist's Guide to Love,A Tourist's Guide to Love,0,2023,\N,94,"Adventure,Comedy,Romance",5.7,6104,nm1286069,Steven K. Tsuchida
A Quiet Place Part II,Films (English),tt8332922,movie,A Quiet Place Part II,A Quiet Place Part II,0,2020,\N,97,"Drama,Horror,Sci-Fi",7.2,260592,nm1024677,John Krasinski
The Father,Films (English),tt10272386,movie,The Father,The Father,0,2020,\N,97,"Drama,Mystery",8.2,179392,nm1725469,Florian Zeller
"Kiss, Kiss!",Films (Non-English),tt12858434,movie,"Kiss, Kiss!","Gorzko, gorzko!",0,2022,\N,107,"Comedy,Romance",3.7,379,nm1428845,Tomasz Konecki
The Point Men,Films (Non-English),tt21111120,movie,The Point Men,Gyoseob,0,2023,\N,108,"Action,Drama,Thriller",6,1252,nm0948027,Soon-rye Yim
Black Crab,Films (Non-English),tt6708668,movie,Black Crab,Svart krabba,0,2022,\N,114,"Action,Adventure,Drama",5.7,24919,nm3515833,Adam Berg
Chokehold,Films (Non-English),tt18353064,movie,Chokehold,Boga Boga,0,2023,\N,112,"Drama,Thriller",5.7,4241,nm2380484,Onur Saylak
Shehzada,Films (Non-English),tt13130948,movie,Shehzada,Shehzada,0,2023,\N,142,"Action,Comedy,Drama",4.5,30636,nm2539328,Rohit Dhawan
Whitney Houston: I Wanna Dance with Somebody,Films (English),tt12193804,movie,Whitney Houston: I Wanna Dance with Somebody,Whitney Houston: I Wanna Dance with Somebody,0,2022,\N,144,"Biography,Drama,Music",6.6,20957,nm0501435,Kasi Lemmons
The Last Kingdom: Seven Kings Must Die,Films (English),tt15767808,movie,The Last Kingdom: Seven Kings Must Die,The Last Kingdom: Seven Kings Must Die,0,2023,\N,111,"Action,Drama,History",6.9,32256,nm0063279,Edward Bazalgette
Let Him Go,Films (English),tt9340860,movie,Let Him Go,Let Him Go,0,2020,\N,113,"Crime,Drama,Thriller",6.7,33621,nm0080120,Thomas Bezucha
Murder Mystery 2,Films (English),tt15255288,movie,Murder Mystery 2,Murder Mystery 2,0,2023,\N,90,"Action,Comedy,Crime",5.7,62485,nm1275670,Jeremy Garelick
Sing 2,Films (English),tt6467266,movie,Sing 2,Sing 2,0,2021,\N,110,"Adventure,Animation,Comedy",7.4,80178,"nm1134029,nm2888554","Garth Jennings, Christophe Lourdelet"
Chupa,Films (English),tt14923260,movie,Chupa,Chupa,0,2023,\N,95,"Action,Adventure,Drama",5.5,6732,nm0190861,Jonás Cuarón
