show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
Thunivu (Hindi),Films (Non-English),tt15163652,movie,Thunivu,Thunivu,,2023,,146,"Action,Crime,Thriller",6.1,28571,nm6474441,H. Vinoth
"Pamela, a love story",Films (English),tt18376122,movie,Pamela: A Love Story,"Pamela, a Love Story",,2023,,112,"Biography,Documentary",7.2,12023,nm1713913,Ryan White
I Like It But It Scares Me,Films (Non-English),tt5855440,movie,"Me gusta, pero me asusta","Me gusta, pero me asusta",,2017,,100,Comedy,5.7,615,nm0351021,Beto Gómez
JUNG_E,Films (Non-English),tt22352848,movie,Jung_E,Jung_E,,2023,,98,"Action,Adventure,Drama",5.5,10015,nm3613566,Sang-ho Yeon
Air Force The Movie: Danger Close,Films (Non-English),tt14571464,movie,Air Force: The Movie - Selagi Bernyawa,Air Force: The Movie - Selagi Bernyawa,,2022,,103,"Action,Adventure,War",5.2,502,"nm8761802,nm10169038","Frank See, Zulkarnain Azhar"
Guillermo del Toro’s Pinocchio,Films (English),tt4593060,movie,Pinocchio,Pinocchio,,2022,,105,"Adventure,Comedy,Drama",5.1,40468,nm0000709,Robert Zemeckis
Tara VS. Bilal,Films (Non-English),tt14398454,movie,Tara vs Bilal,Tara vs Bilal,,2022,,126,"Comedy,Drama,Romance",5.8,2481,nm1873953,Samar Iqbal
Codename: Tiranga,Films (Non-English),tt22099068,movie,Code Name: Tiranga,Code Name: Tiranga,,2022,,137,"Action,Drama,Thriller",3.3,2924,nm4138262,Ribhu Dasgupta
HELL DOGS - IN THE HOUSE OF BAMBOO -,Films (Non-English),tt19845414,movie,Hell Dogs,Heru doggusu,,2022,,138,"Action,Crime,Drama",6.7,1844,nm0361735,Masato Harada
Kantara (Hindi),Films (Non-English),tt15327088,movie,Kantara,Kantara,,2022,,148,"Action,Adventure,Drama",8.2,98735,nm6142895,Rishab Shetty
Love Destiny The Movie,Films (Non-English),tt13446128,movie,Love Destiny: The Movie,Love Destiny: The Movie,,2022,,166,"Comedy,History,Romance",6.2,517,nm8706551,Adisorn Tresirikasem
Lost Bullet 2,Films (Non-English),tt10456740,movie,Lost Bullet,Balle perdue,,2020,,92,"Action,Crime,Thriller",6.3,13663,nm4962035,Guillaume Pierret
GodFather (Hindi),Films (Non-English),tt13130308,movie,Godfather,Godfather,,2022,,157,"Action,Crime,Drama",5.2,7373,nm1001345,Mohan Raja
Deception - Round D Corner,Films (Non-English),tt10644708,movie,Dhokha,Dhokha: Round D Corner,,2022,,122,"Crime,Drama,Thriller",6.2,11974,nm1739317,Kookie Gulati
Minions & More Volume 2,Films (English),tt23382644,movie,Minions & More 2,Minions & More 2,,2022,,50,"Adventure,Animation,Comedy",6.4,711,nm1853544,Pierre Coffin
Rurouni Kenshin: The Beginning,Films (Non-English),tt11991748,movie,Rurouni Kenshin: Final Chapter Part II - The Beginning,Rurôni Kenshin: Sai shûshô - The Beginning,,2021,,137,"Action,Adventure,Drama",7.4,10158,nm3311094,Keishi Otomo
